ลําดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,"รหัส
รับรวม",รับ,สมัคร,ผาน,"ยืนยัน
สิทธิ์","อัตราการ
แขงขัน",คะแนนสูงสุด,คะแนนต่ําสุด
3368,10160220300701A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร",วศ.บ. วิศวกรรมเครื่องกล,,,Admission1,,,50,12,2,1,1 : 0.24,4608.9,4608.9
3369,10160220300701A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร",วศ.บ. วิศวกรรมเครื่องกล,,,Admission2,,,10,17,0,0,1 : 1.7,0,0
3370,10160220300702A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมเครื่องกลแขนง
วิศวกรรมเครื่องกลเกษตรอัจฉริยะ",,,Admission1,,,50,2,0,0,1 : 0.04,0,0
3371,10160220300702A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมเครื่องกลแขนง
วิศวกรรมเครื่องกลเกษตรอัจฉริยะ",,,Admission2,,,25,0,0,0,1 : 0,0,0
3372,10160220300703A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมเครื่องกลแขนง
วิศวกรรมพลังงาน",,,Admission1,,,50,1,0,0,1 : 0.02,0,0
3373,10160220300703A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมเครื่องกลแขนง
วิศวกรรมพลังงาน",,,Admission2,,,25,5,1,1,1 : 0.2,11134.4,11134.4
3374,10160220301601A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมไฟฟาแขนง
วิศวกรรมไฟฟาสื่อสาร",,,Admission1,,,30,4,0,0,1 : 0.13,0,0
3375,10160220301601A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมไฟฟาแขนง
วิศวกรรมไฟฟาสื่อสาร",,,Admission2,,,15,2,0,0,1 : 0.13,0,0
3376,10160220301602A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมไฟฟาวิศวกรรม
อิเล็กทรอนิกส",,,Admission1,,,30,6,0,0,1 : 0.2,0,0
3377,10160220301602A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมไฟฟาวิศวกรรม
อิเล็กทรอนิกส",,,Admission2,,,15,4,0,0,1 : 0.27,0,0
3378,10160220303401A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมหุนยนตและ
อิเล็กทรอนิกสอัจฉริยะ",,,Admission1,,,50,5,1,1,1 : 0.1,4992.3,4992.3
3379,10160220303401A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วศ.บ. วิศวกรรมหุนยนตและ
อิเล็กทรอนิกสอัจฉริยะ",,,Admission2,,,25,8,1,1,1 : 0.32,14505,14505
3380,10160220500601A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วท.บ. วิทยาศาสตรการประมงและ
ทรัพยากรทางน้ํา",,,Admission1,,,30,8,3,1,1 : 0.27,4427.6,4427.6
3381,10160220500601A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วท.บ. วิทยาศาสตรการประมงและ
ทรัพยากรทางน้ํา",,,Admission2,,,15,4,1,1,1 : 0.27,6981.7,6981.7
3382,10160220501202A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วท.บ. สัตวศาสตร แขนงการผลิตและ
ธุรกิจปศุสัตว",,,Admission1,,,30,9,4,3,1 : 0.3,5686.7,4191.4
3383,10160220501202A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วท.บ. สัตวศาสตร แขนงการผลิตและ
ธุรกิจปศุสัตว",,,Admission2,,,15,5,0,0,1 : 0.33,0,0
3384,10160220501203A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วท.บ. สัตวศาสตร แขนงการผลิตและ
ธุรกิจสัตวเลี้ยง",,,Admission1,,,50,4,1,0,1 : 0.08,0,0
3385,10160220501203A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วท.บ. สัตวศาสตร แขนงการผลิตและ
ธุรกิจสัตวเลี้ยง",,,Admission2,,,25,2,0,0,1 : 0.08,0,0
3386,10160220501301A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร",วท.บ. เทคโนโลยีการจัดการผลิตพืช,,,Admission1,,,30,2,0,0,1 : 0.07,0,0
3387,10160220501301A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร",วท.บ. เทคโนโลยีการจัดการผลิตพืช,,,Admission2,,,15,1,0,0,1 : 0.07,0,0
3388,10160220610801A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","บธ.บ. บริหารธุรกิจและการเปน
ผูประกอบการ",,,Admission1,,,30,11,6,6,1 : 0.37,5293.5,4087.5
3389,10160220610801A,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","บธ.บ. บริหารธุรกิจและการเปน
ผูประกอบการ",,,Admission2,,,15,13,1,0,1 : 0.87,0,0
3390,10160220610801F,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","บธ.บ. บริหารธุรกิจและการเปน
ผูประกอบการ (หลักสูตรควบสอง
ปริญญา กับ ศศ.บ. การจัดการการ
ทองเที่ยวและการบริการ มหาวิทยาลัย
รังสิต)",,,Admission1,,,40,3,0,0,1 : 0.08,0,0
3391,10160220610801F,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","บธ.บ. บริหารธุรกิจและการเปน
ผูประกอบการ (หลักสูตรควบสอง
ปริญญา กับ ศศ.บ. การจัดการการ
ทองเที่ยวและการบริการ มหาวิทยาลัย
รังสิต)",,,Admission2,,,20,1,0,0,1 : 0.05,0,0
3392,10160220610802F,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","บธ.บ. บริหารธุรกิจและการเปน
ผูประกอบการ (หลักสูตรควบสอง
ปริญญา กับ บธ.บ. การจัดการธุรกิจ
การบิน มหาวิทยาลัยรังสิต)",,,Admission1,,,40,5,2,2,1 : 0.13,4568.5,4343
3393,10160220610802F,"สถาบันเทคโนโลยีพระจอม
เกลาเจาคุณทหารลาดกระบัง","ชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","วิทยาเขตชุมพรเขตรอุดมศักดิ์
จังหวัดชุมพร","บธ.บ. บริหารธุรกิจและการเปน
ผูประกอบการ (หลักสูตรควบสอง
ปริญญา กับ บธ.บ. การจัดการธุรกิจ
การบิน มหาวิทยาลัยรังสิต)",,,Admission2,,,20,1,0,0,1 : 0.05,0,0
3394,10170100210801A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,มหาวิทยาลัยเทคโนโลยีสุรนารี,เทคโนโลยีดิจิทัล,,"การรับสมัครเขา
ศึกษาหลักสูตร
ศาสตรและศิลป
ดิจิทัล(สาขาวิชา
เทคโนโลยีดิจิทัล)",Admission1,,,35,72,20,17,1 : 2.06,41.845,3.9075
3395,10170100210801A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,มหาวิทยาลัยเทคโนโลยีสุรนารี,เทคโนโลยีดิจิทัล,,"การรับสมัครเขา
ศึกษากลุมหลักสูตร
ศาสตรและศิลป
ดิจิทัล(สาขาวิชา
เทคโนโลยีดิจิทัล)",Admission2,,,25,77,20,18,1 : 3.08,15150.94,7413.7
3396,10170100210802A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,มหาวิทยาลัยเทคโนโลยีสุรนารี,นิเทศศาสตรดิจิทัล,,"การรับสมัครเขา
ศึกษาหลักสูตร
ศาสตรและศิลป
ดิจิทัล(สาขาวิชา
นิเทศศาสตรดิจิทัล)",Admission1,,,15,73,15,15,1 : 4.87,44.1575,27
3397,10170100210802A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,มหาวิทยาลัยเทคโนโลยีสุรนารี,นิเทศศาสตรดิจิทัล,,"การรับสมัครเขา
ศึกษาหลักสูตร
ศาสตรและศิลป
ดิจิทัล(สาขาวิชา
นิเทศศาสตรดิจิทัล)",Admission2,,,10,68,14,10,1 : 6.8,15270,8336.6
3398,10170101112001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิทยาศาสตร,วิทยาศาสตรการกีฬา,,"การรับสมัครเขา
ศึกษาสาขาวิชา
วิทยาศาสตรการกีฬา",Admission1,,,50,19,2,1,1 : 0.38,18.05,18.05
3399,10170101112001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิทยาศาสตร,วิทยาศาสตรการกีฬา,,"การรับสมัครเขา
ศึกษาสาขาวิชา
วิทยาศาสตรการกีฬา",Admission2,,,50,34,7,7,1 : 0.68,12952,8225.4
3400,10170101210001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิทยาศาสตร,"วิทยาศาสตรบัณฑิต(คณิตศาสตรเคมี
ชีววิทยาฟสิกส)?",,"การรับสมัครเขา
ศึกษาหลักสูตร
วิทยาศาสตรบัณฑิต
(คณิตศาสตรเคมี
ชีววิทยาฟสิกส)",Admission1,,,100,17,1,1,1 : 0.17,27.55,27.55
3401,10170101210001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิทยาศาสตร,"วิทยาศาสตรบัณฑิต(คณิตศาสตรเคมี
ชีววิทยาฟสิกส)?",,"การรับสมัครเขา
ศึกษาหลักสูตร
วิทยาศาสตรบัณฑิต
(คณิตศาสตรเคมี
ชีววิทยาฟสิกส)",Admission2,,,50,35,7,5,1 : 0.7,14022.64,12285.5
3402,10170101213501A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิทยาศาสตร,ภูมิสารสนเทศ,,"การรับสมัครเขา
ศึกษาสาขาวิชาภูมิ
สารสนเทศ",Admission1,,,30,2,0,0,1 : 0.07,0,0
3403,10170101213501A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิทยาศาสตร,ภูมิสารสนเทศ,,"การรับเขาศึกษา
สาขาวิชาภูมิ
สารสนเทศ",Admission2,,,20,8,2,2,1 : 0.4,12149,11003.8
3404,10170102610201A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีสังคม,การจัดการบัณฑิต,,"การรับสมัครเขา
ศึกษาสาขาวิชา
เทคโนโลยีการจัดการ",Admission1,,,30,4,1,1,1 : 0.13,40.845,40.845
3405,10170102610201A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีสังคม,การจัดการบัณฑิต,,"การรับสมัครเขา
ศึกษาสาขาวิชา
เทคโนโลยีการจัดการ",Admission2,,,40,99,33,27,1 : 2.48,15061.8,7638.9
3406,10170102620101E,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีสังคม,"นวัตกรรมเทคโนโลยีอุตสาหกรรม
บริการ(นานาชาต)ิ",,"การรับสมัครเขา
ศึกษาสาขาวิชา
นวัตกรรม
เทคโนโลยี
อุตสาหกรรมบริการ
(หลักสูตรนานาชาต)ิ",Admission1,,,30,3,1,1,1 : 0.1,68.75,68.75
3407,10170102620101E,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีสังคม,"นวัตกรรมเทคโนโลยีอุตสาหกรรม
บริการ(นานาชาต)ิ",,"การรับสมัครเขา
ศึกษาสาขาวิชา
นวัตกรรม
เทคโนโลยี
อุตสาหกรรมบริการ
(หลักสูตรนานาชาต)ิ",Admission2,,,30,14,4,2,1 : 0.47,16362.84,13104
3408,10170103500001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีการเกษตร,กลุมเทคโนโลยีการเกษตร,,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
เทคโนโลยีการเกษตร
(ผลิตพืชนวัตกรรม
ทางสัตวเทคโนโลยี
อาหาร)",Admission1,,,200,14,4,4,1 : 0.07,31.4643,25.8929
3409,10170103500001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีการเกษตร,กลุมเทคโนโลยีการเกษตร,,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
เทคโนโลยีการเกษตร
(ผลิตพืชนวัตกรรม
ทางสัตวเทคโนโลยี
อาหาร)",Admission2,,,200,71,12,12,1 : 0.36,14261.34,8527.3
3410,10170103500402E,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีการเกษตร,"ผูประกอบการเกษตรเชิงนวัตกรรม
(หลักสูตรนานาชาต)ิ",,"การรับสมัครเขา
ศึกษาสํานักวิชา
เทคโนโลยีการเกษตร
(สาขาวิชา
ผูประกอบการ
เกษตรเชิงนวัตกรรม
(หลักสูตรนานาชาต)ิ",Admission1,,,30,0,0,0,1 : 0,0,0
3411,10170103500402E,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาเทคโนโลยีการเกษตร,"ผูประกอบการเกษตรเชิงนวัตกรรม
(หลักสูตรนานาชาต)ิ",,"การรับสมัครเขา
ศึกษาสํานักวิชา
เทคโนโลยีการเกษตร
(สาขาวิชา
ผูประกอบการ
เกษตรเชิงนวัตกรรม
(หลักสูตรนานาชาต)ิ",Admission2,,,30,2,1,0,1 : 0.07,0,0
3412,10170107300001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,กลุมวิศวกรรมศาสตร,,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
วิศวกรรมศาสตร
(เรียนรวมกันป1
แยกสาขาป2)",Admission1,,,500,490,146,128,1 : 0.98,34.6667,5
3413,10170107300001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,กลุมวิศวกรรมศาสตร,,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
วิศวกรรมศาสตร
(เรียนรวมกันป1
แยกสาขาป2)",Admission2,,,500,604,144,128,1 : 1.21,19579.5,6683.04
3414,10170107300006E,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมศาสตร(หลักสูตรนานาชาติ),,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
วิศวกรรมศาสตร
(หลักสูตรนานาชาต)ิ",Admission1,,,50,6,1,1,1 : 0.12,34,34
3415,10170107300006E,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมศาสตร(หลักสูตรนานาชาติ),,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
วิศวกรรมศาสตร
(หลักสูตรนานาชาต)ิ",Admission2,,,50,11,2,2,1 : 0.22,11906.65,8458.6
3416,10170107301602B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมไฟฟาอุตสาหกรรม,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชา
วิศวกรรมไฟฟา
อุตสาหกรรม-หลักสูตรนอกเวลา)",Admission1,,3102,60,16,3,2,1 : 0.27,84.5,77.5
3417,10170107301602B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมไฟฟาอุตสาหกรรม,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชา
วิศวกรรมไฟฟา
อุตสาหกรรม-หลักสูตรนอกเวลา)",Admission1,,3102,60,0,0,0,1 : 0,0,0
3418,10170107301602B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมไฟฟาอุตสาหกรรม,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชา
วิศวกรรมไฟฟา
อุตสาหกรรม-หลักสูตรนอกเวลา)",Admission2,,,10,11,4,2,1 : 1.1,13519.5,12008.65
3419,10170107301901B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมเมคคาทรอนิกส,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชาวิศวกรรม
เมคคาทรอนิกส-หลักสูตรนอกเวลา)",Admission1,,,60,36,19,16,1 : 0.6,96,66.25
3420,10170107301901B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมเมคคาทรอนิกส,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชาวิศวกรรม
เมคคาทรอนิกส-หลักสูตรนอกเวลา)",Admission2,,,10,12,2,0,1 : 1.2,0,0
3421,10170107302102B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมโยธาและโครงสรางพื้นฐาน,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชาวิศวกรรม
โยธาและโครงสราง
พื้นฐาน-หลักสูตร
นอกเวลา)",Admission1,,3101,60,24,6,5,1 : 0.4,86.25,75.75
3422,10170107302102B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมโยธาและโครงสรางพื้นฐาน,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชาวิศวกรรม
โยธาและโครงสราง
พื้นฐาน-หลักสูตร
นอกเวลา)",Admission1,,3101,60,5,4,2,1 : 0.08,86.75,82.5
3423,10170107302102B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมโยธาและโครงสรางพื้นฐาน,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชาวิศวกรรม
โยธาและโครงสราง
พื้นฐาน-หลักสูตร
นอกเวลา)",Admission2,,,10,35,10,9,1 : 3.5,14684.29,3540
3424,10170107303502B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมพรีซิชั่น,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชา
วิศวกรรมพรีซิชั่น-หลักสูตรนอกเวลา)",Admission1,,,60,8,3,2,1 : 0.13,83.75,79.25
3425,10170107303502B,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาวิศวกรรมศาสตร,วิศวกรรมพรีซิชั่น,,"การรับสมัครเขา
ศึกษาสํานักวิชา
วิศวกรรมศาสตร
(สาขาวิชา
วิศวกรรมพรีซิชั่น-หลักสูตรนอกเวลา)",Admission2,,,10,4,0,0,1 : 0.4,0,0
3426,10170110110001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาสาธารณสุขศาสตร,สาธารณสุขศาสตร,,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
สาธารณสุขศาสตร",Admission1,,,100,91,42,37,1 : 0.91,36.3571,20.8571
3427,10170110110001A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,สํานักวิชาสาธารณสุขศาสตร,สาธารณสุขศาสตร,,"การรับสมัครเขา
ศึกษากลุมสาขาวิชา
สาธารณสุขศาสตร",Admission2,,,50,345,125,104,1 : 6.9,16915.4,7578.7
3428,10180111112710A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,"วท.บ.สาขาวิชาอาชีวอนามัยและความ
ปลอดภัย",,Admission1,Admission1,,,8,42,9,8,1 : 5.25,37.9137,27.4177
3429,10180111112710A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,"วท.บ.สาขาวิชาอาชีวอนามัยและความ
ปลอดภัย",,Admission2,Admission2,,,5,12,5,5,1 : 2.4,15592.1,10492.44
3430,10180111210301A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาคณิตศาสตร,,Admission1,Admission1,,,5,37,11,8,1 : 7.4,36.1936,12.755
3431,10180111210301A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาคณิตศาสตร,,Admission2,Admission2,,,5,15,1,1,1 : 3,13889.54,13889.54
3432,10180111210402A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาเคมี,,Admission1,Admission1,,,10,49,14,10,1 : 4.9,37.6036,15.0163
3433,10180111210402A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาเคมี,,Admission2,Admission2,,,5,35,6,5,1 : 7,15983.4,11554.2
3434,10180111210503A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาจุลชีววิทยา,,Admission1,Admission1,,,5,31,10,8,1 : 6.2,37.8263,20.5243
3435,10180111210503A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาจุลชีววิทยา,,Admission2,Admission2,,,5,16,1,1,1 : 3.2,14384,14384
3436,10180111210704A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาชีววิทยา,,Admission1,Admission1,,,5,53,8,7,1 : 10.6,44.9043,25.0033
3437,10180111210704A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาชีววิทยา,,Admission2,Admission2,,,5,29,4,3,1 : 5.8,14241.5,10239.1
3438,10180111212707A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาฟสิกสชีวการแพทย,,Admission1,Admission1,,,5,32,7,7,1 : 6.4,39.2703,26.922
3439,10180111212707A,มหาวิทยาลัยอุบลราชธานี,วิทยาเขตหลัก,คณะวิทยาศาสตร,วท.บ.สาขาวิชาฟสิกสชีวการแพทย,,Admission2,Admission2,,,5,16,5,3,1 : 3.2,14387.2,11883.44
